–
harry
...
disse
rony
hagrid
coisa
hermione
bem
cabeça
olhos
dumbledore
vez
perguntou
ter
então
vai
agora
porta
snape
“
”
potter
weasley
parecia
dois
fazer
nada
lockhart
voz
todos
dizer
vamos
nunca
havia
alguma
aqui
tão
sr.
draco
lado
quase
ainda
sala
ver
grifinória
tempo
ah
porque
casa
sobre
grande
onde
enquanto
varinha
escola
hogwarts
duda
malfoy
tudo
antes
viu
senhor
sabe
outra
rosto
profa
alunos
tio
todo
volta
deu
chão
lá
mione
válter
mão
cima
dia
vou
alto
neville
dobby
melhor
respondeu
ficou
alguém
dursley
depressa
fred
três
fez
cara
hora
ninguém
noite
frente
pode
riddle
dentro
acho
sonserina
carro
sempre
bom
jorge
gina
falar
outro
olhar
pessoas
sei
madame
pedra
filch
cada
ano
quirrell
prof.
ia
percy
lugar
saiu
meio
pouco
gritou
mesa
exclamou
talvez
tentando
começou
direção
claro
falou
quadribol
primeiro
ar
fazendo
—
câmara
dar
ali
sra
olhou
atrás
livros
toda
podia
corredor
repente
ficar
assim
garoto
poderia
sabia
coisas
vassoura
mundo
trouxas
capa
professor
boca
minerva
chapéu
sido
bruxo
embora
vezes
vão
cabelos
quero
aula
outros
gente
contra
ouviu
quanto
tia
ir
mãos
certeza
cama
diário
petúnia
saber
hoje
qualquer
menos
aí
correndo
pai
pessoa
nome
bruxos
magia
deve
passar
primeira
livro
trás
mal
abriu
seguinte
finalmente
duas
castelo
entrar
olhando
anos
queria
parede
caminho
vida
devia
mim
quer
vestes
tentou
realmente
logo
janela
mcgonagall
carta
segundo
voltar
nariz
sorriso
murta
espelho
sair
força
nenhum
família
parou
acha
bateu
uns
time
instante
novo
sentiu
tanto
menino
momento
minutos
pensar
conseguiu
manhã
durante
deixou
posso
floresta
quarto
professora
cobra
cinco
passou
braço
voldemort
salão
rua
goyle
alta
seguida
mãe
sangue
contar
pontos
luz
demais
algum
silêncio
quatro
pirraça
entrou
tom
pés
verdade
coruja
garotos
murmurou
andar
apenas
enorme
pé
caiu
olívio
secreta
continuou
ouviram
deixar
fazia
rúbeo
wood
todas
aconteceu
encontrar
baixo
ouvir
dando
